"","Gender","Age","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Travel.Busi","Travel.Pers","ClassBusi","ClassEco","ClassEcoPlus","cluster"
"4556",1,33,140,1,5,1,4,4,1,2,4,3,3,1,5,5,4,0,0,1,0,0,1,0,2
"4560",0,11,645,3,2,4,3,1,4,1,1,1,2,3,4,4,1,22,28,1,0,0,1,0,4
"4562",1,41,309,5,1,1,4,5,5,5,5,5,3,5,4,4,5,0,0,1,0,1,0,0,2
"4570",0,20,1024,4,4,4,4,1,4,1,1,3,2,3,3,4,1,0,4,1,0,0,1,0,1
"4582",0,49,762,3,4,4,3,5,3,5,5,3,4,5,5,5,5,0,0,1,0,1,0,0,4
"4601",1,25,1652,1,1,1,4,5,1,5,5,3,1,4,1,3,5,0,0,1,0,0,1,0,1
"4606",1,28,978,3,3,3,2,4,3,4,4,1,1,2,4,3,4,0,2,1,0,0,1,0,1
"4609",1,21,208,1,5,1,3,5,1,5,5,1,1,4,2,4,5,0,0,1,0,0,1,0,2
"4623",1,38,452,3,4,4,1,4,4,4,4,5,3,4,5,4,4,3,11,1,0,1,0,0,2
"4625",1,22,912,4,4,4,5,4,4,4,4,5,5,5,5,4,4,0,0,1,0,0,1,0,4
"4628",1,52,493,3,3,3,2,3,3,3,3,4,2,4,3,4,3,0,0,1,0,1,0,0,2
"4638",0,23,183,3,4,3,3,4,3,4,4,1,3,2,4,4,4,0,0,1,0,0,1,0,2
"4642",0,48,190,1,1,1,5,1,1,1,1,5,3,5,3,4,1,24,20,1,0,1,0,0,2
"4643",0,21,1028,4,4,4,5,3,4,3,3,3,3,2,5,4,3,0,0,1,0,0,1,0,1
"4647",0,27,577,5,5,5,2,2,5,2,2,5,5,4,3,4,2,2,0,1,0,1,0,0,4
"4650",1,39,1076,4,4,4,2,2,4,2,2,3,3,5,5,4,2,0,0,1,0,1,0,0,1
"4652",0,56,249,3,0,3,3,2,3,2,2,2,3,1,3,1,2,1,3,1,0,0,1,0,2
"4653",1,57,802,3,3,3,1,5,3,5,5,3,2,1,2,2,5,9,0,1,0,0,1,0,4
"4660",0,37,399,1,3,1,4,2,1,2,2,2,4,3,2,3,2,0,0,1,0,0,1,0,2
"4672",1,24,489,3,4,3,4,4,3,4,4,2,3,3,4,3,4,0,0,1,0,0,1,0,2
"4673",0,36,315,4,3,4,2,2,4,4,2,3,3,4,1,3,2,12,4,1,0,0,1,0,2
"4686",1,23,979,5,5,5,4,2,5,2,2,5,2,4,4,4,2,108,98,1,0,1,0,0,1
"4689",1,22,2556,4,4,4,3,4,4,4,3,4,4,4,4,4,4,0,10,1,0,0,1,0,3
"4694",1,24,175,2,3,2,2,4,2,4,4,3,4,2,3,3,4,0,0,1,0,0,1,0,2
"4696",0,35,1590,2,2,2,3,1,2,1,1,4,4,5,5,5,1,0,0,1,0,1,0,0,1
"4716",0,24,1056,4,4,4,3,4,4,4,4,3,1,2,3,4,4,0,0,1,0,0,1,0,1
"4721",0,46,395,2,2,2,3,3,2,3,3,5,3,5,3,5,3,0,0,1,0,1,0,0,2
"4727",1,26,135,5,5,5,4,5,5,5,5,2,3,3,4,4,5,0,0,1,0,0,1,0,2
"4733",0,35,809,2,2,2,4,3,2,3,3,1,3,3,2,4,3,7,13,1,0,0,1,0,4
"4742",1,57,134,1,2,2,4,1,1,1,1,3,5,4,5,5,1,0,0,1,0,1,0,0,2
"4747",0,21,829,5,0,5,2,4,5,4,4,5,5,4,4,5,4,0,1,1,0,1,0,0,4
"4757",1,44,253,3,3,3,1,3,3,3,3,2,3,5,4,5,3,0,0,1,0,0,1,0,2
"4759",0,54,1007,4,4,4,4,4,4,1,4,4,2,3,1,3,4,0,17,1,0,0,0,1,1
"4760",1,23,212,3,3,3,4,3,1,1,4,2,4,3,1,1,1,202,190,1,0,0,1,0,2
"4765",1,36,1187,2,2,2,5,2,2,3,2,4,5,4,4,3,2,59,36,1,0,1,0,0,1
"4783",1,27,209,1,5,1,1,4,1,4,4,5,3,3,3,2,4,0,0,1,0,0,1,0,2
"4804",1,27,1076,3,3,3,3,1,3,5,1,3,3,5,4,5,1,0,0,1,0,1,0,0,1
"4806",1,26,1005,2,2,2,4,2,2,2,2,5,3,4,5,4,2,0,0,1,0,1,0,0,1
"4815",1,27,1005,2,2,2,4,1,2,1,1,4,3,4,4,5,1,0,0,1,0,1,0,0,1
"4818",0,23,1203,3,3,3,4,4,3,4,4,1,3,3,1,4,4,0,6,1,0,0,1,0,1
"4827",0,29,1119,5,5,5,1,5,5,5,5,3,2,5,4,5,5,2,4,1,0,1,0,0,1
"4829",1,38,471,3,4,3,4,3,3,3,3,4,2,4,4,4,3,6,15,1,0,0,1,0,2
"4839",0,28,1222,2,2,2,2,3,2,3,3,4,1,2,3,2,3,13,20,1,0,0,1,0,1
"4847",0,25,2677,4,5,4,2,4,3,3,5,3,3,5,3,3,3,0,0,1,0,1,0,0,3
"4855",1,22,695,1,1,1,3,5,1,5,5,1,2,2,3,3,5,0,0,1,0,0,1,0,4
"4861",1,24,909,5,5,5,3,5,5,5,5,4,3,5,5,5,5,22,2,1,0,0,1,0,4
"4873",0,17,160,3,4,3,3,4,3,5,4,1,1,4,2,4,4,0,5,1,0,0,0,1,2
"4877",0,57,192,4,3,4,1,1,4,1,1,2,1,4,5,2,1,0,0,1,0,0,1,0,2
"4894",1,39,1726,2,1,1,1,5,1,3,5,3,4,4,3,4,5,0,17,1,0,1,0,0,1
"4899",0,32,377,3,3,3,3,3,3,3,3,1,4,4,3,3,3,26,21,1,0,0,1,0,2
"4900",0,31,1041,2,2,2,3,4,2,4,4,1,5,3,1,4,4,31,23,1,0,0,1,0,1
"4906",1,45,1129,4,4,4,1,4,4,3,4,5,4,5,4,5,4,2,0,1,0,1,0,0,1
"4920",0,23,1205,1,1,1,4,1,1,1,1,5,5,4,5,5,1,0,0,1,0,0,1,0,1
"4925",0,20,920,4,4,4,3,5,4,5,5,3,4,3,3,3,5,0,0,1,0,0,1,0,4
"4927",0,26,862,3,3,3,4,5,3,5,5,5,2,3,4,3,5,27,24,1,0,0,1,0,4
"4928",0,24,977,5,5,5,3,3,5,3,3,1,1,1,5,5,3,7,0,1,0,0,1,0,1
"4937",0,27,589,2,0,2,2,3,2,3,3,4,2,2,3,5,3,0,0,1,0,0,1,0,4
"4939",0,32,957,1,1,1,4,1,1,1,1,4,3,5,5,5,1,8,0,1,0,1,0,0,4
"4944",0,42,236,3,0,3,5,1,3,1,1,3,3,4,2,3,1,0,0,1,0,0,1,0,2
"4945",0,18,542,0,0,0,4,3,0,3,3,4,3,5,5,4,3,0,0,1,0,0,1,0,4
"4949",0,46,386,4,1,4,4,3,4,3,3,2,5,3,4,3,3,3,0,1,0,0,1,0,2
"4950",0,25,483,4,4,4,4,3,4,3,3,4,2,4,4,3,3,0,5,1,0,0,1,0,2
"4960",1,13,1532,3,0,4,4,2,4,2,2,2,2,4,4,4,2,0,7,1,0,1,0,0,1
"4962",0,44,362,3,3,3,1,1,3,1,1,4,2,5,4,4,1,0,0,1,0,1,0,0,2
"4972",0,50,1506,2,2,2,1,4,2,4,4,3,3,5,3,4,4,0,0,1,0,1,0,0,1
"4983",0,35,201,3,1,3,3,3,3,3,3,4,2,3,2,3,3,0,0,1,0,0,1,0,2
"4987",1,30,957,2,2,2,4,1,2,1,1,4,3,1,5,5,1,0,0,1,0,0,1,0,4
"4988",0,44,1048,2,2,2,4,2,2,2,2,1,2,3,4,4,2,0,0,1,0,0,1,0,1
"5003",1,24,630,4,0,4,4,5,4,5,5,4,1,3,4,5,5,0,0,1,0,0,1,0,4
"5006",0,32,237,3,3,3,3,4,3,2,4,3,2,5,3,4,4,0,43,1,0,1,0,0,2
"5016",1,27,1290,5,5,5,3,3,5,2,3,5,4,5,5,5,3,3,0,1,0,1,0,0,1
"5018",1,23,89,5,0,5,4,3,5,4,3,1,2,5,5,5,3,77,64,1,0,0,1,0,2
"5021",1,16,577,0,0,0,1,1,0,1,1,4,3,4,3,4,1,0,0,1,0,0,1,0,4
"5023",0,23,1262,3,3,3,3,2,3,2,2,5,2,4,4,5,2,0,0,1,0,0,1,0,1
"5032",0,24,737,5,4,5,3,5,5,4,5,3,3,5,3,5,5,22,43,1,0,1,0,0,4
"5033",1,27,453,2,1,1,1,2,1,2,2,5,4,5,3,4,2,0,0,1,0,1,0,0,2
"5035",0,18,277,1,4,2,5,2,2,5,2,4,3,5,3,4,2,2,0,1,0,0,1,0,2
"5037",0,23,647,1,4,1,3,4,1,4,4,3,2,4,1,3,4,0,0,1,0,0,1,0,4
"5038",0,23,563,5,0,5,2,2,5,2,2,3,1,1,4,3,2,0,0,1,0,0,1,0,4
"5039",0,25,1506,3,2,3,3,4,3,4,4,1,5,4,2,3,4,104,101,1,0,0,0,1,1
"5041",0,39,406,4,4,4,4,4,4,4,4,1,1,4,2,3,4,0,0,1,0,1,0,0,2
"5042",1,29,1312,4,4,4,3,1,4,1,1,5,3,4,4,5,1,11,4,1,0,1,0,0,1
"5044",1,32,255,3,3,3,3,5,3,5,5,3,3,5,5,4,5,69,66,1,0,1,0,0,2
"5054",1,27,867,2,2,2,3,5,2,5,5,1,3,4,1,3,5,10,0,1,0,0,1,0,4
"5080",0,47,446,2,4,2,4,1,2,1,1,3,1,3,4,4,1,11,13,1,0,0,1,0,2
"5082",0,24,590,4,1,4,4,3,4,3,3,3,2,4,4,5,3,0,0,1,0,1,0,0,4
"5090",1,23,1102,5,3,5,4,3,5,3,3,4,3,5,4,4,3,26,7,1,0,1,0,0,1
"5092",0,23,852,3,4,4,3,3,5,5,4,3,4,3,5,4,5,37,72,1,0,0,1,0,4
"5098",1,21,854,3,3,3,4,3,3,3,3,5,2,4,5,4,3,7,0,1,0,0,1,0,4
"5106",0,45,585,3,3,3,4,1,3,1,1,3,4,5,5,5,1,0,0,1,0,1,0,0,4
"5107",0,22,1044,2,2,2,2,5,2,5,5,4,5,4,4,4,5,0,4,1,0,0,1,0,1
"5116",0,42,1618,1,1,1,4,2,1,2,2,3,1,4,3,4,2,9,3,1,0,0,1,0,1
"5117",1,11,1412,2,2,2,4,5,2,5,5,1,2,2,2,3,5,13,22,1,0,0,1,0,1
"5121",0,51,569,3,4,2,3,4,2,4,4,2,5,4,3,3,4,0,0,1,0,0,1,0,4
"5124",0,22,550,5,0,5,3,3,5,3,3,3,3,4,3,4,3,0,2,1,0,1,0,0,4
"5128",0,65,128,3,3,3,1,4,3,5,4,4,2,2,5,5,4,0,0,1,0,0,0,1,2
"5138",0,25,679,5,4,5,1,1,5,1,1,3,5,4,3,5,1,0,9,1,0,1,0,0,4
"5139",1,23,438,2,3,2,4,3,2,3,3,1,2,3,3,4,3,10,10,1,0,0,1,0,2
"5155",0,27,874,1,1,1,4,5,1,5,5,1,4,3,2,4,5,27,15,1,0,0,1,0,4
"5169",0,27,304,4,4,4,4,1,4,1,1,3,5,4,5,4,1,58,60,1,0,1,0,0,2
"5175",0,34,357,4,4,4,3,1,4,1,1,5,5,5,4,5,1,13,21,1,0,1,0,0,2
"5180",1,32,964,3,3,3,4,5,3,2,5,3,2,4,4,5,5,9,7,1,0,1,0,0,4
"5185",1,43,122,4,3,3,4,3,4,3,3,2,2,3,2,3,3,0,0,1,0,0,0,1,2
"5187",0,28,522,3,3,3,4,5,3,5,5,5,2,4,3,4,5,77,82,1,0,1,0,0,4
"5190",1,36,197,2,2,2,2,5,2,5,5,2,4,1,1,1,5,42,46,1,0,0,1,0,2
"5198",0,35,959,4,4,4,3,3,4,1,3,4,1,4,2,2,3,10,2,1,0,0,1,0,4
"5200",1,39,632,4,4,4,3,2,4,2,2,3,5,4,3,4,2,23,10,1,0,1,0,0,4
"5206",1,24,373,2,2,3,3,2,3,2,2,3,2,3,1,3,2,0,0,1,0,0,1,0,2
"5212",0,44,288,5,5,5,5,4,5,4,4,4,5,4,4,4,4,0,0,1,0,1,0,0,2
"5218",1,27,545,4,4,4,3,2,4,1,2,5,3,5,4,4,2,0,0,1,0,1,0,0,4
"5219",0,23,612,5,3,5,1,5,5,5,5,1,4,1,1,4,5,0,0,1,0,0,1,0,4
"5220",0,27,151,0,0,0,1,4,0,4,4,3,2,4,5,5,4,0,0,1,0,1,0,0,2
"5223",1,21,515,3,4,3,3,3,3,3,3,1,4,4,2,4,3,16,12,1,0,0,1,0,4
"5227",0,19,649,2,0,1,3,3,1,3,3,4,3,4,5,4,3,0,0,1,0,0,1,0,4
"5230",1,39,1322,3,3,3,3,3,5,5,2,2,4,3,5,3,5,0,0,1,0,0,1,0,1
"5240",0,18,979,4,0,4,3,2,4,5,2,3,4,4,5,5,2,29,21,1,0,1,0,0,1
"5241",1,24,709,3,3,3,4,4,3,4,4,5,3,2,5,1,4,0,0,1,0,0,1,0,4
"5252",0,21,735,4,4,4,2,2,4,2,2,4,4,2,2,3,2,43,34,1,0,0,1,0,4
"5254",0,20,308,5,5,5,3,2,5,2,2,5,5,4,5,4,2,15,3,1,0,1,0,0,2
"5262",0,37,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20,1,0,0,1,0,2
"5270",0,27,442,3,3,3,3,3,3,5,3,4,1,3,1,3,3,0,0,1,0,0,1,0,2
"5273",0,21,1155,2,3,3,4,3,3,3,4,4,4,1,3,2,3,0,0,1,0,0,1,0,1
"5279",1,22,113,1,1,1,4,3,1,3,3,4,1,3,3,4,3,52,59,1,0,0,1,0,2
"5280",0,22,1121,5,5,5,3,3,5,3,3,1,4,3,2,5,3,0,0,1,0,0,1,0,1
"5285",1,19,405,2,2,3,3,5,3,5,5,2,5,3,4,3,5,0,0,1,0,0,1,0,2
"5288",1,50,641,2,2,2,3,1,2,1,1,3,2,5,4,5,1,7,17,1,0,1,0,0,4
"5294",0,38,224,1,1,1,4,4,1,4,4,5,3,4,4,4,4,0,0,1,0,1,0,0,2
"5304",1,21,707,4,4,4,5,1,4,1,1,3,2,4,3,5,1,0,0,1,0,0,1,0,4
"5341",1,26,1096,2,2,2,2,2,2,2,2,2,3,3,2,3,2,0,0,1,0,1,0,0,1
"5356",1,44,308,4,4,4,2,4,4,4,4,4,4,1,4,3,4,58,77,1,0,0,1,0,2
"5365",0,26,109,2,1,2,3,1,2,1,1,1,4,3,3,4,1,14,10,1,0,0,1,0,2
"5376",0,34,883,3,4,4,3,5,4,2,5,5,4,5,4,5,5,0,0,1,0,1,0,0,4
"5379",1,7,491,4,2,4,4,5,4,5,5,4,2,3,3,4,5,22,11,1,0,0,1,0,2
"5382",0,35,1024,4,5,5,3,4,5,4,4,2,5,3,2,4,4,0,17,1,0,0,1,0,1
"5399",0,37,317,1,3,2,4,5,2,5,5,3,3,3,4,4,5,61,61,1,0,0,1,0,2
"5401",0,39,150,1,1,1,3,1,1,1,1,1,3,3,1,2,1,0,22,1,0,1,0,0,2
"5411",0,25,1014,1,1,1,2,3,1,3,3,5,3,5,4,5,3,0,2,1,0,0,1,0,1
"5412",0,23,100,0,4,0,1,5,0,5,5,1,2,5,2,4,5,0,0,1,0,0,1,0,2
"5431",1,34,495,3,3,3,1,1,3,1,1,3,2,4,5,5,1,20,15,1,0,1,0,0,2
"5441",0,32,421,3,0,3,4,3,3,3,3,1,5,5,4,4,3,2,3,1,0,0,1,0,2
"5442",1,27,298,1,0,1,2,3,1,3,3,2,1,3,5,2,3,5,0,1,0,0,1,0,2
"5445",0,18,1056,5,5,5,2,4,5,4,4,3,5,1,5,5,4,0,14,1,0,0,1,0,1
"5446",0,24,529,4,5,4,4,3,4,5,3,5,3,5,3,4,3,0,0,1,0,1,0,0,4
"5449",1,37,548,1,2,2,3,5,2,5,5,1,4,3,1,4,5,0,0,1,0,0,1,0,4
"5450",0,23,372,2,3,2,4,2,2,1,2,3,4,3,3,3,2,0,11,1,0,0,1,0,2
"5453",0,39,1017,2,2,2,4,5,2,5,5,4,3,4,2,3,5,0,0,1,0,1,0,0,1
"5461",0,37,444,4,4,4,5,3,4,1,3,3,5,5,3,5,3,19,15,1,0,1,0,0,2
"5463",1,39,1167,1,2,2,3,3,2,3,3,5,1,2,3,5,3,46,86,1,0,1,0,0,1
"5466",0,32,731,4,4,4,3,5,4,5,5,4,3,5,5,5,5,0,0,1,0,1,0,0,4
"5473",0,8,544,1,2,1,4,5,1,5,5,2,2,4,2,4,5,0,0,1,0,0,1,0,4
"5475",0,33,809,1,1,1,4,5,1,5,5,4,4,2,3,2,5,0,0,1,0,0,1,0,4
"5482",1,17,794,4,4,4,3,5,4,5,5,2,3,4,3,4,5,22,7,1,0,0,1,0,4
"5504",0,24,558,1,4,1,3,1,1,1,1,3,3,4,1,3,1,22,18,1,0,0,1,0,4
"5512",1,33,581,3,3,3,5,4,3,4,4,4,3,5,4,5,4,0,0,1,0,1,0,0,4
"5522",0,64,936,3,3,3,4,5,3,5,5,4,2,4,2,4,5,0,0,1,0,0,1,0,4
"5536",1,69,453,3,3,3,1,2,3,2,2,4,3,5,4,4,2,0,5,1,0,1,0,0,2
"5538",1,49,2378,3,3,3,3,1,3,1,1,4,3,4,4,5,1,0,0,1,0,1,0,0,3
"5539",1,25,763,5,0,5,2,5,5,5,5,3,3,3,3,5,5,1,0,1,0,1,0,0,4
"5549",0,36,548,4,4,4,3,4,4,4,4,5,1,5,3,3,4,0,0,1,0,0,0,1,4
"5550",1,25,352,5,5,5,3,5,5,5,5,4,1,4,4,5,5,0,0,1,0,1,0,0,2
"5558",0,30,612,3,4,3,4,2,3,5,2,2,5,4,2,4,2,67,64,1,0,0,1,0,4
"5570",1,37,251,5,4,5,3,4,5,5,4,5,1,3,2,2,4,0,0,1,0,0,1,0,2
"5582",1,38,356,3,3,3,4,2,3,1,2,4,2,3,4,3,2,0,2,1,0,1,0,0,2
"5584",0,37,342,1,1,1,3,3,1,1,3,5,3,4,5,5,3,0,0,1,0,1,0,0,2
"5592",1,23,515,2,4,2,1,1,2,1,1,4,4,3,3,5,1,0,0,1,0,0,1,0,4
"5595",1,22,528,5,0,5,4,2,5,2,2,4,4,5,3,5,2,10,1,1,0,1,0,0,4
"5598",0,44,628,2,2,2,5,5,2,5,5,5,2,5,5,4,5,0,0,1,0,1,0,0,4
"5600",0,24,414,4,4,4,2,5,4,5,5,3,2,5,5,4,5,0,0,1,0,1,0,0,2
"5615",0,26,534,1,1,0,2,3,0,3,3,2,4,2,3,1,3,3,49,1,0,0,1,0,4
"5625",1,38,447,5,5,5,3,4,5,4,4,4,3,5,5,4,4,0,0,1,0,0,1,0,2
"5626",0,60,1009,3,3,3,2,2,3,2,2,3,4,4,5,4,2,0,20,1,0,1,0,0,1
"5629",1,34,368,2,2,2,3,4,2,4,4,4,3,4,3,4,4,22,22,1,0,1,0,0,2
"5631",0,29,1166,2,2,2,2,3,2,3,3,5,4,5,4,5,3,0,0,1,0,1,0,0,1
"5635",1,35,899,3,4,4,3,3,4,3,3,3,4,4,5,4,3,17,21,1,0,1,0,0,4
"5636",0,25,296,1,1,1,4,3,1,3,3,2,4,4,3,4,3,48,58,1,0,0,1,0,2
"5641",0,59,456,2,2,3,3,2,3,2,2,4,5,2,2,3,2,23,40,1,0,0,1,0,2
"5643",1,32,954,2,2,2,1,3,2,5,3,1,4,5,2,3,3,26,13,1,0,0,1,0,4
"5658",1,22,425,1,1,1,3,4,1,4,4,3,1,2,3,3,4,0,0,1,0,0,1,0,2
"5662",0,27,343,3,4,3,4,3,3,4,3,3,2,4,1,3,3,0,2,1,0,0,1,0,2
"5663",0,29,1259,3,3,3,3,5,3,5,5,2,5,3,1,3,5,25,33,1,0,0,1,0,1
"5664",0,14,2165,3,2,3,4,5,3,5,5,4,2,2,3,3,5,0,0,1,0,0,0,1,3
"5668",1,19,315,5,2,5,3,2,5,2,2,1,1,4,3,2,2,0,0,1,0,0,1,0,2
"5671",0,20,1020,3,3,3,4,1,3,1,1,2,2,3,3,5,1,0,0,1,0,0,0,1,1
"5679",0,25,2586,3,3,3,2,3,1,4,4,3,1,3,4,4,4,0,0,1,0,0,1,0,3
"5680",0,22,954,1,1,0,3,4,0,4,4,2,5,3,4,3,4,0,0,1,0,0,0,1,4
"5694",0,24,143,4,4,4,3,2,4,2,2,1,2,3,2,4,2,4,26,1,0,0,1,0,2
"5699",0,29,1379,4,4,4,4,4,4,4,4,3,5,4,5,5,4,0,0,1,0,1,0,0,1
"5705",0,41,1205,1,1,1,3,1,1,5,1,2,3,3,3,4,1,0,1,1,0,0,1,0,1
"5706",0,20,337,0,0,0,2,2,0,2,2,4,4,4,2,4,2,0,0,1,0,0,1,0,2
"5710",0,27,214,5,5,5,2,5,5,5,5,3,2,4,4,5,5,2,2,1,0,1,0,0,2
"5713",0,54,250,5,5,5,4,4,5,4,4,4,2,5,4,5,4,0,4,1,0,1,0,0,2
"5716",1,22,609,3,4,3,4,4,3,4,4,1,1,3,2,4,4,0,9,1,0,0,1,0,4
"5717",0,24,544,4,4,4,1,1,4,1,1,4,4,4,5,5,1,80,68,1,0,0,1,0,4
"5727",1,36,2125,1,1,1,5,2,1,2,2,3,4,4,4,5,2,6,0,1,0,1,0,0,3
"5737",0,11,746,5,5,5,2,4,5,4,4,5,2,5,5,4,4,1,1,1,0,0,1,0,4
"5739",1,63,589,4,1,4,3,3,4,1,3,1,4,4,2,3,3,0,0,1,0,0,1,0,4
"5745",1,54,184,3,2,2,3,4,2,4,4,3,3,3,1,2,4,0,0,1,0,0,1,0,2
"5749",1,37,370,1,4,0,3,1,0,3,1,1,4,2,1,2,1,0,0,1,0,0,1,0,2
"5751",0,19,711,2,2,2,5,2,2,2,2,4,3,4,4,4,2,0,0,1,0,0,1,0,4
"5754",1,18,1005,2,1,1,3,5,1,5,5,1,5,3,2,3,5,59,47,1,0,0,1,0,1
"5757",0,24,1235,5,4,5,4,2,4,2,2,4,5,4,4,4,2,0,0,1,0,1,0,0,1
"5764",0,21,761,4,0,5,3,5,5,1,5,5,3,4,4,5,5,0,0,1,0,1,0,0,4
"5767",0,36,467,1,1,1,4,1,1,1,1,5,5,2,5,4,1,0,0,1,0,0,0,1,2
"5772",1,22,262,2,0,2,3,4,2,4,4,3,5,4,5,2,4,0,0,1,0,0,1,0,2
"5784",0,25,352,1,3,1,3,3,1,3,3,5,3,3,2,2,3,0,0,1,0,0,1,0,2
"5797",0,22,1248,3,3,3,1,4,3,4,4,3,4,4,3,4,4,6,3,1,0,0,1,0,1
"5807",0,20,299,2,0,2,4,1,2,1,1,1,2,4,1,3,1,13,3,1,0,0,1,0,2
"5810",0,46,2556,3,3,3,3,1,3,1,1,4,5,5,5,5,1,1,0,1,0,1,0,0,3
"5816",0,58,277,4,4,4,3,5,4,1,5,4,5,4,5,4,5,0,0,1,0,1,0,0,2
"5824",0,29,260,2,2,3,3,5,3,5,5,1,2,3,2,3,5,0,0,1,0,0,1,0,2
"5829",0,30,874,2,2,2,4,5,2,5,5,4,3,4,5,5,5,0,0,1,0,1,0,0,4
"5834",0,37,1036,4,4,4,3,1,4,1,1,1,4,5,5,4,1,5,17,1,0,0,1,0,1
"5840",0,18,594,3,2,3,3,3,3,5,3,4,3,3,1,4,3,7,21,1,0,0,1,0,4
"5841",0,10,764,1,2,1,3,5,1,5,5,4,5,3,1,3,5,0,0,1,0,1,0,0,4
"5842",1,33,173,1,0,1,4,5,1,2,5,2,3,1,1,4,5,0,0,1,0,0,1,0,2
"5847",0,26,760,4,4,4,3,1,4,1,1,4,2,4,5,5,1,0,0,1,0,1,0,0,4
"5850",1,33,728,1,1,1,4,5,1,5,5,4,1,3,4,4,5,0,12,1,0,0,1,0,4
"5855",0,44,240,4,3,3,5,1,4,1,1,5,3,4,3,4,1,0,0,1,0,1,0,0,2
"5857",1,29,900,2,2,2,1,1,2,1,1,4,4,4,3,1,1,0,0,1,0,0,1,0,4
"5859",0,27,862,3,2,2,3,2,2,4,2,3,5,5,5,5,2,8,11,1,0,1,0,0,4
"5868",1,25,946,2,2,2,3,3,2,4,3,4,2,3,3,3,3,52,40,1,0,0,1,0,4
"5873",0,21,761,3,3,3,4,1,3,1,1,2,2,3,4,3,1,5,4,1,0,0,1,0,4
"5874",0,24,587,2,2,3,4,4,3,3,4,2,5,3,1,4,4,3,5,1,0,0,1,0,4
"5886",0,15,315,2,0,2,5,3,2,3,3,4,3,1,2,2,3,11,5,1,0,0,1,0,2
"5887",0,44,391,4,0,4,4,5,4,5,5,3,1,4,1,2,5,30,20,1,0,0,1,0,2
"5889",1,27,134,2,1,1,2,2,1,3,2,3,3,4,3,5,2,0,0,1,0,1,0,0,2
"5890",1,31,805,2,2,2,3,3,2,3,3,3,4,3,2,2,3,0,18,1,0,0,1,0,4
"5891",1,34,372,3,4,3,2,4,3,4,4,4,4,4,1,4,4,0,0,1,0,0,1,0,2
"5895",1,23,149,2,2,2,3,4,2,4,4,1,4,4,4,4,4,0,0,1,0,0,1,0,2
"5897",1,38,992,4,4,4,2,4,4,4,4,4,2,2,1,2,4,14,4,1,0,0,1,0,1
"5898",0,20,257,3,1,3,3,3,3,3,3,4,2,3,2,4,3,6,0,1,0,0,1,0,2
"5911",0,38,405,2,2,2,1,3,2,3,3,5,4,4,3,5,3,0,0,1,0,1,0,0,2
"5920",0,44,704,1,1,1,3,1,1,1,1,1,2,4,1,4,1,8,5,1,0,0,1,0,4
"5921",0,36,268,2,1,3,3,5,3,5,5,3,1,3,1,4,5,0,10,1,0,0,1,0,2
"5926",1,12,1188,3,3,3,3,3,3,3,3,1,5,3,1,3,3,22,29,1,0,0,1,0,1
"5934",0,23,296,5,0,5,2,4,5,4,4,5,3,4,5,4,4,0,0,1,0,1,0,0,2
"5947",1,20,533,3,2,3,3,3,3,4,3,1,3,2,2,2,3,0,0,1,0,0,1,0,4
"5948",0,80,496,4,5,5,4,5,4,4,5,5,4,5,5,5,4,0,0,1,0,1,0,0,2
"5952",0,14,916,3,3,3,4,5,3,5,5,3,4,3,2,5,5,6,29,1,0,0,1,0,4
"5955",0,37,1744,2,2,2,3,1,2,1,1,4,2,5,3,5,1,0,0,1,0,1,0,0,1
"5960",0,37,299,3,1,3,3,3,2,3,1,1,3,3,3,3,3,265,291,1,0,0,1,0,2
"5961",0,24,1241,3,3,3,4,3,3,3,3,4,3,4,3,5,3,7,9,1,0,0,1,0,1
"5970",0,25,325,4,4,4,4,3,4,3,3,3,2,4,3,4,3,0,0,1,0,1,0,0,2
"5986",0,25,352,1,0,1,3,4,1,4,4,4,1,2,5,1,4,12,5,1,0,0,1,0,2
"5989",0,17,1464,4,5,4,4,2,4,3,2,4,4,4,3,5,2,0,0,1,0,1,0,0,1
"5990",0,22,679,2,2,2,3,4,2,4,4,5,1,5,4,2,4,0,0,1,0,0,1,0,4
"6014",0,26,1180,4,4,4,5,1,4,1,1,5,3,4,4,4,1,0,0,1,0,1,0,0,1
"6015",1,24,338,3,4,3,3,2,3,2,2,5,5,5,5,5,2,39,26,1,0,0,1,0,2
"6019",0,42,431,3,3,3,5,3,3,3,3,5,2,4,5,5,3,0,4,1,0,1,0,0,2
"6025",0,24,624,5,5,5,3,4,5,4,4,5,2,5,4,5,4,0,0,1,0,0,1,0,4
"6028",1,33,551,3,2,3,3,3,3,5,3,4,2,2,4,3,3,94,89,0,1,0,1,0,4
"6032",1,35,425,4,4,4,4,2,4,2,2,4,5,4,3,5,2,0,0,1,0,1,0,0,2
"6034",1,52,626,3,3,3,4,2,3,2,2,4,4,4,4,5,2,0,0,1,0,1,0,0,4
"6051",1,20,262,2,3,2,2,3,2,3,3,1,4,2,1,2,3,63,52,1,0,0,1,0,2
