"","satisfaction","Gender","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","cluster"
"11075",0,0,"disloyal Customer",40,"Business travel","Business",744,2,2,2,3,5,2,5,5,2,3,3,5,5,5,0,0,1
"11078",0,1,"disloyal Customer",23,"Business travel","Eco",397,3,0,3,3,4,3,4,4,3,4,4,5,4,4,0,0,2
"11083",0,0,"disloyal Customer",25,"Business travel","Eco",759,2,2,2,3,2,4,4,3,2,4,4,4,3,4,168,175,1
"11084",0,0,"disloyal Customer",28,"Business travel","Eco",821,2,1,1,4,1,1,1,1,3,1,3,3,3,1,0,4,4
"11098",0,0,"disloyal Customer",38,"Business travel","Eco",919,3,3,3,4,4,3,4,4,4,2,4,1,3,4,0,0,1
"11101",0,0,"disloyal Customer",13,"Business travel","Eco",598,2,2,2,3,3,2,3,3,2,4,4,3,3,3,0,2,4
"11102",0,0,"disloyal Customer",36,"Business travel","Eco",427,4,2,4,4,1,4,1,1,4,2,4,4,3,1,0,0,3
"11107",1,1,"disloyal Customer",15,"Business travel","Eco",765,4,4,4,5,2,4,2,2,4,1,4,1,5,2,0,0,3
"11112",0,0,"disloyal Customer",25,"Business travel","Eco",503,2,4,2,2,3,2,3,3,3,3,4,2,4,3,7,17,4
"11121",0,1,"disloyal Customer",47,"Business travel","Business",1017,3,3,3,1,4,3,4,4,3,2,4,3,4,4,18,7,2
"11125",0,0,"disloyal Customer",50,"Business travel","Business",541,2,2,2,2,2,2,2,2,4,3,4,5,4,2,113,107,4
"11129",0,0,"disloyal Customer",37,"Business travel","Eco",480,4,0,4,5,3,4,3,3,2,2,5,2,5,3,0,0,3
"11143",0,0,"disloyal Customer",25,"Business travel","Eco",2586,3,3,3,2,3,3,4,1,2,1,2,4,2,4,26,0,3
"11146",0,0,"disloyal Customer",21,"Business travel","Eco",366,3,4,3,3,3,3,3,3,3,1,3,2,4,3,0,0,3
"11151",1,1,"disloyal Customer",24,"Business travel","Business",735,5,5,5,5,3,5,3,3,3,4,4,3,4,3,0,0,2
"11152",0,0,"disloyal Customer",18,"Business travel","Eco",789,2,2,2,3,3,2,3,3,2,1,3,1,3,3,21,10,1
"11155",0,0,"disloyal Customer",37,"Business travel","Eco",228,3,2,3,4,3,4,3,1,5,3,4,3,2,3,153,147,3
"11157",0,1,"disloyal Customer",39,"Business travel","Eco",495,3,3,3,4,5,3,5,5,4,5,3,2,5,5,0,0,2
"11158",0,0,"disloyal Customer",27,"Business travel","Eco",2342,1,1,1,3,2,1,2,2,4,3,2,4,3,2,0,2,4
"11162",0,0,"disloyal Customer",36,"Business travel","Eco",266,4,4,4,3,3,4,3,3,2,4,4,4,3,3,2,0,3
"11166",0,0,"disloyal Customer",29,"Business travel","Eco",196,3,5,3,3,5,3,5,5,1,3,4,4,2,5,0,0,1
"11187",1,0,"disloyal Customer",28,"Business travel","Business",488,4,4,4,3,5,4,5,5,5,2,5,5,5,5,71,85,2
"11191",0,0,"disloyal Customer",47,"Business travel","Eco",771,3,3,3,2,1,3,1,1,3,2,3,3,1,1,9,4,3
"11192",0,1,"disloyal Customer",20,"Business travel","Business",2611,3,2,3,4,3,3,2,2,2,4,3,2,2,2,193,185,3
"11206",0,0,"disloyal Customer",29,"Business travel","Eco",612,2,1,2,4,4,2,4,4,4,3,3,1,3,4,21,26,1
"11209",0,0,"disloyal Customer",33,"Business travel","Business",600,2,2,2,1,2,2,2,2,5,3,4,4,4,2,3,0,4
"11211",0,1,"disloyal Customer",25,"Business travel","Business",846,1,4,1,3,1,1,1,1,5,5,4,5,4,1,5,0,4
"11212",0,0,"disloyal Customer",46,"Business travel","Business",844,2,2,2,2,4,2,1,4,3,5,5,3,5,4,0,0,1
"11231",1,0,"disloyal Customer",24,"Business travel","Eco",989,4,4,4,3,3,4,3,3,3,1,4,1,4,3,5,0,3
"11232",0,0,"disloyal Customer",35,"Business travel","Eco",675,4,4,4,4,4,4,4,4,4,4,1,5,5,4,16,1,2
"11234",0,0,"disloyal Customer",39,"Business travel","Business",362,2,2,2,3,1,2,1,1,3,4,2,4,2,1,55,55,4
"11236",0,0,"disloyal Customer",38,"Business travel","Eco",191,2,0,2,3,1,2,1,1,2,1,2,1,3,1,42,39,4
"11250",0,1,"disloyal Customer",27,"Business travel","Business",2486,1,1,1,1,1,1,5,1,3,3,5,5,4,1,19,0,4
"11258",0,0,"disloyal Customer",24,"Business travel","Eco",483,3,2,3,3,3,3,3,3,3,4,3,1,3,3,130,127,3
"11260",0,0,"disloyal Customer",21,"Business travel","Eco",1428,3,3,3,3,5,3,5,5,3,1,4,2,4,5,111,99,1
"11264",0,1,"disloyal Customer",35,"Business travel","Eco",1605,2,2,2,2,3,2,4,3,1,1,2,4,3,3,114,104,1
"11268",0,1,"disloyal Customer",22,"Business travel","Eco",557,2,4,2,1,1,2,1,1,4,4,5,3,4,1,0,5,4
"11269",0,0,"disloyal Customer",25,"Business travel","Eco",496,4,0,4,3,4,4,3,4,5,2,1,2,5,4,0,0,2
"11277",0,0,"disloyal Customer",35,"Business travel","Business",861,4,4,4,3,5,4,5,5,5,4,4,3,5,5,128,118,2
"11285",0,1,"disloyal Customer",27,"Business travel","Eco",977,2,2,2,4,5,2,5,5,1,5,5,5,2,5,34,96,1
"11290",0,0,"disloyal Customer",29,"Business travel","Eco",772,1,1,1,4,5,1,5,5,1,5,3,1,4,5,0,0,1
"11291",1,0,"disloyal Customer",13,"Business travel","Eco",1117,5,5,5,1,3,5,1,3,2,3,2,2,3,3,0,3,3
"11297",0,1,"disloyal Customer",26,"Business travel","Business",192,3,5,3,4,4,3,4,4,5,2,4,4,4,4,8,8,2
"11317",1,0,"disloyal Customer",22,"Business travel","Eco",397,5,0,5,1,3,5,5,3,4,4,5,3,3,3,70,75,2
"11326",0,0,"disloyal Customer",27,"Business travel","Business",2153,3,3,3,1,4,3,4,4,5,4,4,5,5,4,0,0,2
"11337",0,1,"disloyal Customer",42,"Business travel","Eco",694,3,3,3,4,5,3,5,5,2,3,1,4,3,5,4,0,1
"11338",0,1,"disloyal Customer",22,"Business travel","Eco",447,3,4,3,3,1,3,1,1,3,3,4,4,4,1,10,5,3
"11341",0,1,"disloyal Customer",27,"Business travel","Eco",813,3,3,3,3,2,3,2,2,1,5,3,3,4,2,17,15,3
"11345",0,1,"disloyal Customer",34,"Business travel","Business",1995,3,3,3,5,3,3,3,3,3,2,4,3,5,3,0,0,3
"11349",1,0,"disloyal Customer",21,"Business travel","Business",139,5,0,5,1,5,5,5,5,5,2,5,5,4,5,5,22,2
"11361",0,0,"disloyal Customer",52,"Business travel","Eco",646,2,0,2,3,1,2,2,1,1,5,3,4,3,1,0,0,4
"11368",1,0,"disloyal Customer",20,"Business travel","Eco",356,0,0,0,3,2,0,2,2,1,1,3,1,5,2,0,0,4
"11376",0,1,"disloyal Customer",69,"Personal Travel","Eco",1014,2,4,2,4,3,2,3,3,2,5,4,3,4,3,0,0,4
"11387",1,0,"disloyal Customer",22,"Business travel","Eco",413,0,0,0,5,3,0,1,3,5,4,4,3,5,3,22,14,4
"11395",0,1,"disloyal Customer",24,"Business travel","Eco",1303,2,2,2,1,5,2,5,5,5,1,3,5,4,5,0,0,1
"11399",0,1,"disloyal Customer",24,"Business travel","Eco",798,1,1,1,5,5,1,4,5,5,3,4,4,3,5,13,0,1
"11403",0,1,"disloyal Customer",44,"Business travel","Eco",406,3,2,3,3,4,3,4,4,4,3,3,1,3,4,0,0,1
"11406",0,1,"disloyal Customer",33,"Business travel","Eco",422,1,1,1,3,5,1,5,5,1,2,3,3,4,5,0,0,1
"11408",0,0,"disloyal Customer",20,"Business travel","Eco",759,2,2,2,3,1,2,1,1,2,4,4,2,4,1,0,0,4
"11414",0,0,"disloyal Customer",36,"Business travel","Eco",194,2,3,2,4,5,2,5,5,2,1,3,4,4,5,0,3,1
"11415",0,0,"disloyal Customer",24,"Business travel","Eco",150,2,0,2,3,3,2,2,3,3,5,1,3,2,3,0,0,4
"11418",1,1,"disloyal Customer",22,"Business travel","Eco",1214,5,5,5,2,1,5,1,1,4,1,4,2,4,1,0,0,3
"11422",0,1,"disloyal Customer",27,"Business travel","Business",1709,2,2,2,3,3,2,3,3,5,2,3,5,4,3,9,0,4
"11431",0,0,"disloyal Customer",25,"Business travel","Business",436,2,4,2,3,2,2,2,2,2,1,4,2,3,2,11,1,4
"11438",0,1,"disloyal Customer",29,"Business travel","Eco",759,2,2,2,2,3,2,3,3,2,5,2,2,2,3,0,0,1
"11447",1,0,"disloyal Customer",38,"Business travel","Eco Plus",86,4,4,4,2,2,4,2,2,5,2,3,2,4,2,0,0,3
"11454",0,1,"disloyal Customer",39,"Business travel","Eco",405,2,2,2,2,3,2,3,3,3,3,3,2,2,3,0,0,1
"11474",0,1,"disloyal Customer",41,"Business travel","Eco",86,2,4,2,4,1,2,5,1,2,2,4,1,4,1,0,0,4
"11484",1,1,"disloyal Customer",23,"Business travel","Business",968,5,0,5,4,5,4,4,3,3,5,4,4,3,4,0,0,2
"11485",1,1,"disloyal Customer",27,"Business travel","Business",910,0,0,0,3,3,0,3,3,3,3,5,5,4,3,0,0,4
"11492",1,1,"disloyal Customer",18,"Business travel","Business",1390,4,0,4,2,3,4,3,3,3,3,5,5,4,3,6,0,2
"11493",0,0,"disloyal Customer",29,"Business travel","Business",469,2,2,2,3,4,2,4,4,4,5,5,5,4,4,0,0,1
"11499",0,1,"disloyal Customer",34,"Business travel","Business",354,3,3,3,3,2,3,2,2,5,5,3,2,2,2,0,0,3
"11501",0,0,"disloyal Customer",23,"Business travel","Eco",395,3,1,3,3,4,3,4,4,3,1,3,4,3,4,32,22,1
"11513",0,1,"disloyal Customer",28,"Business travel","Eco",2288,3,3,3,3,4,3,4,4,2,2,4,1,4,4,0,0,1
"11519",1,1,"disloyal Customer",20,"Business travel","Eco",829,4,4,4,4,1,4,3,1,5,5,5,3,5,1,2,0,3
"11520",0,1,"disloyal Customer",24,"Business travel","Eco",429,3,4,3,4,2,3,2,2,2,1,4,4,4,2,0,0,3
"11531",0,1,"disloyal Customer",36,"Business travel","Business",368,2,2,2,4,3,2,3,3,3,5,5,5,5,3,26,25,4
"11539",0,0,"disloyal Customer",38,"Business travel","Eco",351,3,0,3,3,1,3,3,1,3,1,4,1,3,1,0,0,3
"11552",1,1,"disloyal Customer",45,"Business travel","Business",599,5,4,4,4,4,5,4,4,5,5,4,3,4,4,0,13,2
"11554",0,0,"disloyal Customer",16,"Business travel","Eco",1073,2,2,2,1,3,2,3,3,5,1,2,1,5,3,21,3,4
"11558",0,0,"disloyal Customer",35,"Business travel","Eco",89,2,0,1,2,2,1,2,2,2,4,2,3,5,2,0,0,4
"11562",1,0,"disloyal Customer",50,"Business travel","Business",1514,4,3,3,4,1,4,1,1,4,4,5,3,5,1,0,0,3
"11565",0,1,"disloyal Customer",36,"Business travel","Business",446,2,2,2,4,4,2,4,4,5,5,5,3,4,4,0,0,1
"11566",0,1,"disloyal Customer",24,"Business travel","Eco",816,1,1,1,2,4,1,4,4,3,4,1,2,3,4,0,0,1
"11573",0,1,"disloyal Customer",38,"Business travel","Eco",925,2,2,2,4,4,2,4,4,1,3,4,4,4,4,0,0,1
"11576",0,0,"disloyal Customer",27,"Business travel","Eco",224,4,0,4,3,1,4,1,1,3,2,1,2,4,1,0,0,3
"11577",0,1,"disloyal Customer",26,"Business travel","Eco",635,3,2,3,3,4,3,4,4,4,2,3,1,3,4,19,11,1
"11580",0,0,"disloyal Customer",23,"Business travel","Eco",261,3,0,3,3,3,3,4,3,1,5,5,2,1,3,2,7,1
"11583",0,0,"disloyal Customer",35,"Business travel","Eco",86,1,0,0,2,3,0,3,3,3,2,4,2,4,3,0,0,4
"11584",1,1,"disloyal Customer",12,"Business travel","Eco",1084,5,5,5,4,4,5,4,4,3,4,4,5,4,4,10,3,2
"11585",0,0,"disloyal Customer",25,"Business travel","Eco",933,3,3,3,3,4,3,4,4,5,1,1,2,1,4,0,0,1
"11603",0,0,"disloyal Customer",62,"Business travel","Eco Plus",1598,1,1,1,1,3,1,3,3,3,4,5,1,4,3,0,5,4
"11612",0,0,"disloyal Customer",31,"Business travel","Eco",1185,1,1,1,3,5,1,5,5,2,2,3,4,5,5,0,0,1
"11634",0,0,"disloyal Customer",35,"Business travel","Eco",101,2,0,2,4,2,2,2,2,3,5,1,1,2,2,0,0,4
"11639",1,1,"disloyal Customer",23,"Business travel","Business",528,4,4,4,5,2,4,2,2,4,2,4,3,5,2,0,0,3
"11645",1,1,"disloyal Customer",27,"Business travel","Business",1041,4,4,4,2,5,4,4,5,4,4,4,5,4,5,0,0,2
"11648",0,1,"disloyal Customer",17,"Business travel","Eco",187,3,1,3,3,5,3,5,5,2,2,3,4,4,5,0,0,1
"11655",0,1,"disloyal Customer",65,"Personal Travel","Eco",436,3,4,3,4,4,3,4,4,5,2,4,3,5,4,46,33,2
"11658",0,0,"disloyal Customer",34,"Business travel","Eco",632,1,0,1,4,5,1,3,5,4,4,2,5,1,5,9,2,1
"11659",0,0,"disloyal Customer",43,"Business travel","Business",587,3,3,3,4,3,3,3,3,3,5,4,4,4,3,0,0,3
"11662",0,1,"disloyal Customer",28,"Business travel","Eco",255,1,2,1,4,4,1,2,4,2,2,4,2,3,4,71,70,1
"11670",0,1,"disloyal Customer",25,"Business travel","Eco",143,2,0,2,1,2,2,2,2,3,4,3,3,1,2,0,0,4
"11675",0,1,"disloyal Customer",27,"Business travel","Business",1491,2,2,2,1,4,2,4,4,5,4,5,5,4,4,0,0,1
"11679",1,1,"disloyal Customer",27,"Business travel","Business",130,0,0,0,4,4,0,4,4,3,3,4,3,5,4,14,17,1
"11684",0,1,"disloyal Customer",25,"Business travel","Business",592,1,0,1,2,2,1,2,2,4,4,4,3,4,2,0,7,4
"11688",0,1,"disloyal Customer",47,"Business travel","Eco Plus",867,3,3,3,3,1,3,1,1,2,3,3,1,3,1,0,8,3
"11699",0,1,"disloyal Customer",38,"Business travel","Business",577,4,4,4,2,1,4,1,1,5,5,5,3,5,1,0,0,3
"11705",0,0,"disloyal Customer",24,"Business travel","Eco",449,1,5,1,3,5,1,5,5,4,3,4,5,4,5,0,0,1
"11711",0,0,"disloyal Customer",27,"Business travel","Eco",785,4,4,4,4,2,4,2,2,4,3,4,2,4,2,18,10,3
"11715",0,1,"disloyal Customer",36,"Business travel","Eco",1016,3,3,3,2,2,3,2,2,4,5,3,4,4,2,0,0,3
"11717",0,1,"disloyal Customer",40,"Business travel","Business",1558,2,3,3,3,4,3,4,4,3,2,5,4,5,4,12,8,2
"11719",1,0,"disloyal Customer",45,"Business travel","Eco",315,4,0,4,4,5,4,5,5,2,5,4,1,3,5,0,0,1
"11725",0,1,"disloyal Customer",44,"Business travel","Eco",425,2,5,2,3,2,2,2,2,3,5,3,1,2,2,0,0,4
"11726",1,0,"disloyal Customer",49,"Business travel","Business",1107,5,5,5,3,2,5,2,2,3,2,5,4,4,2,1,0,3
"11733",1,0,"disloyal Customer",48,"Business travel","Eco",184,0,0,0,3,3,0,3,3,1,4,4,2,5,3,0,0,4
"11746",0,0,"disloyal Customer",28,"Business travel","Eco",406,3,0,3,2,1,3,4,1,4,5,2,4,4,1,1,0,3
"11749",0,1,"disloyal Customer",38,"Business travel","Business",236,3,3,3,4,2,3,2,2,3,2,3,2,3,2,73,66,3
"11751",0,1,"disloyal Customer",34,"Business travel","Business",268,3,4,4,4,3,4,3,3,4,2,5,4,5,3,0,0,2
"11752",0,1,"disloyal Customer",47,"Business travel","Eco Plus",441,3,4,4,3,5,3,1,5,1,1,3,3,3,5,0,0,1
"11754",0,1,"disloyal Customer",21,"Business travel","Eco",175,2,3,1,3,2,1,2,2,4,3,2,4,2,2,0,0,4
"11767",0,1,"disloyal Customer",23,"Business travel","Eco",992,1,1,1,3,4,1,4,4,4,2,4,5,4,4,0,0,1
"11780",0,1,"disloyal Customer",40,"Business travel","Eco",612,2,4,2,1,5,2,5,5,1,3,5,2,3,5,1,6,1
"11781",0,0,"disloyal Customer",36,"Business travel","Business",1089,3,3,3,1,3,3,3,3,3,2,4,4,5,3,37,14,2
"11785",0,0,"disloyal Customer",28,"Business travel","Eco Plus",190,3,3,3,4,3,1,1,4,5,3,4,1,1,1,142,129,4
"11787",0,1,"disloyal Customer",25,"Business travel","Eco",451,2,5,2,2,2,2,2,2,4,2,2,2,1,2,0,0,4
"11790",0,1,"disloyal Customer",8,"Business travel","Eco",4243,2,2,2,3,2,4,4,3,4,3,4,4,2,4,57,36,2
"11806",0,0,"disloyal Customer",33,"Business travel","Eco",86,4,3,4,3,3,4,3,3,2,5,2,5,5,3,23,17,3
"11812",0,0,"disloyal Customer",25,"Business travel","Business",696,3,4,3,2,5,3,5,5,3,5,5,3,5,5,0,0,2
"11831",0,0,"disloyal Customer",21,"Business travel","Eco",337,2,1,2,4,2,2,2,4,2,4,3,2,2,2,137,138,4
"11839",0,0,"disloyal Customer",54,"Business travel","Eco",919,2,2,2,1,1,2,1,1,2,3,1,3,1,1,22,7,4
"11853",0,0,"disloyal Customer",26,"Business travel","Business",925,3,3,3,3,3,3,3,3,2,2,3,1,4,3,2,0,3
"11855",0,0,"disloyal Customer",22,"Business travel","Business",296,2,1,1,2,2,1,2,2,1,5,3,4,3,2,81,82,4
"11861",1,0,"disloyal Customer",24,"Business travel","Business",1473,4,0,4,3,4,5,4,5,3,4,5,4,3,4,133,114,2
"11872",0,0,"disloyal Customer",28,"Business travel","Business",689,1,1,1,3,1,1,1,1,3,4,4,3,4,1,0,17,4
"11875",0,0,"disloyal Customer",46,"Business travel","Eco",399,2,4,2,4,2,2,2,2,3,3,3,2,4,2,41,64,4
"11878",0,0,"disloyal Customer",25,"Business travel","Eco",589,2,3,2,3,2,2,2,2,4,3,4,2,3,2,0,0,4
"11886",0,0,"disloyal Customer",36,"Business travel","Business",231,3,3,3,1,2,3,2,2,5,2,4,4,4,2,0,0,3
"11893",0,1,"disloyal Customer",28,"Business travel","Business",1460,3,3,3,1,2,3,2,2,3,2,5,5,4,2,1,1,3
"11897",0,1,"disloyal Customer",22,"Business travel","Eco",816,2,2,2,3,1,2,1,1,3,5,5,4,5,1,0,0,4
"11902",1,0,"disloyal Customer",22,"Business travel","Business",337,4,4,4,4,4,4,4,3,3,5,4,4,3,4,201,200,2
"11904",0,1,"disloyal Customer",20,"Business travel","Eco",301,4,0,4,2,4,4,4,4,3,5,5,3,4,4,0,0,2
"11907",0,1,"disloyal Customer",37,"Business travel","Eco",114,2,5,2,3,4,2,4,4,2,4,2,3,5,4,0,0,1
"11909",0,0,"disloyal Customer",24,"Business travel","Business",846,1,1,1,4,2,1,2,2,3,3,3,3,3,2,4,30,4
"11910",1,1,"disloyal Customer",26,"Business travel","Business",229,4,0,4,5,1,4,1,1,1,3,4,4,3,1,0,0,3
"11912",1,0,"disloyal Customer",20,"Business travel","Business",604,0,4,0,2,1,0,1,1,3,4,5,4,4,1,0,3,4
"11914",1,0,"disloyal Customer",39,"Business travel","Business",580,4,4,4,4,5,4,1,5,3,4,4,3,5,5,44,38,2
"11926",0,1,"disloyal Customer",30,"Business travel","Eco",1039,1,1,1,3,5,1,5,5,3,1,3,4,3,5,23,28,1
"11927",0,1,"disloyal Customer",58,"Business travel","Eco",296,2,1,2,3,1,2,1,1,4,4,3,2,3,1,43,46,4
"11928",1,1,"disloyal Customer",22,"Business travel","Eco",1770,2,2,2,3,4,2,4,4,4,5,5,1,5,4,0,0,1
"11929",0,0,"disloyal Customer",26,"Business travel","Eco Plus",925,3,3,3,3,1,3,1,1,3,2,4,1,4,1,1,4,3
"11931",0,0,"disloyal Customer",24,"Business travel","Eco",453,1,3,1,3,3,1,3,3,1,1,3,3,3,3,0,0,4
"11933",0,1,"disloyal Customer",25,"Business travel","Eco",2402,1,1,1,4,5,1,5,5,1,3,3,4,3,5,11,29,1
"11934",0,1,"disloyal Customer",35,"Business travel","Eco Plus",2405,2,2,2,1,2,2,2,2,2,2,1,5,1,2,0,0,4
"11937",0,1,"disloyal Customer",24,"Business travel","Eco",453,3,0,3,2,3,3,3,3,3,2,5,5,4,3,0,0,2
"11941",0,0,"disloyal Customer",42,"Business travel","Eco",721,4,4,4,3,4,4,2,4,3,2,5,3,5,4,0,0,2
"11943",1,0,"disloyal Customer",24,"Business travel","Business",429,5,3,5,5,2,5,2,2,5,5,5,3,4,2,0,0,3
"11944",0,0,"disloyal Customer",57,"Business travel","Eco",787,1,1,1,4,4,1,4,4,3,5,3,4,4,4,0,0,1
"11946",0,1,"disloyal Customer",39,"Business travel","Business",829,4,5,5,4,1,5,1,1,4,3,4,3,5,1,0,0,3
"11956",0,1,"disloyal Customer",36,"Business travel","Eco",292,1,0,1,4,1,1,1,1,1,5,4,1,3,1,5,1,4
"11957",0,0,"disloyal Customer",35,"Business travel","Eco",2153,1,2,2,3,1,2,2,1,3,1,3,2,2,2,0,0,4
"11961",1,1,"disloyal Customer",26,"Business travel","Business",220,4,0,4,1,5,4,5,5,4,3,5,4,5,5,0,0,2
"11963",1,0,"disloyal Customer",26,"Business travel","Business",596,4,4,4,4,4,4,4,4,4,5,4,3,4,4,0,1,2
"11965",0,0,"disloyal Customer",27,"Business travel","Eco Plus",491,3,3,3,4,1,3,1,1,4,5,3,3,4,1,15,11,3
"11971",0,0,"disloyal Customer",47,"Business travel","Eco",214,3,5,3,3,3,3,3,3,3,3,2,3,3,3,63,66,3
"11978",0,0,"disloyal Customer",28,"Business travel","Eco",948,2,2,2,2,3,2,3,3,3,1,2,2,3,3,10,8,1
"11981",0,1,"disloyal Customer",37,"Business travel","Eco",404,2,2,2,4,5,2,5,5,1,2,3,3,4,5,15,23,1
"11996",0,0,"disloyal Customer",26,"Business travel","Business",184,3,3,3,3,2,3,2,2,5,2,5,5,4,2,0,0,3
"12005",1,1,"disloyal Customer",37,"Business travel","Business",250,5,5,5,3,3,5,3,3,4,3,4,4,4,3,0,0,2
"12010",0,0,"disloyal Customer",45,"Business travel","Eco",158,3,0,3,5,3,3,1,3,1,4,3,5,1,3,0,0,3
"12026",1,0,"disloyal Customer",24,"Business travel","Eco",1303,5,5,5,4,5,5,5,5,3,3,4,4,5,5,0,0,2
"12028",0,1,"disloyal Customer",49,"Business travel","Business",266,3,2,2,4,2,3,2,2,1,4,4,2,3,2,0,0,3
"12047",0,1,"disloyal Customer",57,"Business travel","Eco",672,4,4,4,1,5,4,5,5,2,4,4,1,3,5,3,1,2
"12052",0,0,"disloyal Customer",22,"Business travel","Business",102,2,4,2,4,2,2,2,2,3,2,4,4,3,2,5,14,4
"12055",0,0,"disloyal Customer",9,"Business travel","Eco",787,4,4,4,3,4,4,4,4,4,5,4,4,4,4,12,4,2
"12057",0,1,"disloyal Customer",42,"Business travel","Eco",1385,3,3,3,4,4,3,4,4,1,3,2,1,3,4,0,3,1
"12061",0,1,"disloyal Customer",48,"Business travel","Eco",967,3,3,3,2,4,3,4,4,3,2,2,2,2,4,12,8,1
"12068",0,1,"disloyal Customer",23,"Business travel","Eco",431,4,5,4,5,3,4,3,3,3,4,5,5,5,3,0,0,2
"12069",0,0,"disloyal Customer",9,"Business travel","Eco",569,1,0,1,4,3,1,1,3,1,1,4,1,3,3,0,0,4
"12070",0,1,"disloyal Customer",41,"Business travel","Eco",115,4,0,4,3,5,4,5,5,4,3,4,4,1,5,0,0,2
"12077",0,0,"disloyal Customer",41,"Business travel","Eco",1744,3,3,3,4,4,3,4,4,4,3,3,1,4,4,0,0,1
"12079",0,0,"disloyal Customer",36,"Business travel","Eco",226,3,3,3,3,1,3,1,1,1,2,3,4,4,1,0,0,3
"12083",0,0,"disloyal Customer",52,"Business travel","Eco",802,3,3,3,2,2,3,2,2,1,1,3,4,3,2,18,21,3
"12085",0,0,"disloyal Customer",24,"Business travel","Eco",346,1,0,2,3,3,2,3,3,4,3,4,5,4,3,0,4,4
"12093",0,0,"disloyal Customer",25,"Business travel","Eco",516,1,4,1,1,5,1,5,5,1,4,2,4,5,5,0,16,1
"12095",0,0,"disloyal Customer",29,"Business travel","Eco",936,1,1,1,3,1,1,1,1,2,2,3,1,3,1,8,15,4
"12101",1,1,"disloyal Customer",50,"Business travel","Business",1045,5,5,5,3,4,5,4,4,4,5,5,3,5,4,0,0,2
"12102",0,0,"disloyal Customer",22,"Business travel","Eco",216,2,0,1,2,2,1,2,2,4,5,5,4,4,2,3,1,4
"12103",0,0,"disloyal Customer",34,"Business travel","Eco",689,3,3,3,3,3,3,1,3,2,2,3,2,4,3,0,0,3
"12105",1,1,"disloyal Customer",22,"Business travel","Business",315,5,0,5,3,4,5,4,4,4,5,4,3,4,4,0,2,2
"12113",0,0,"disloyal Customer",18,"Business travel","Eco",1068,3,3,3,2,2,3,2,2,4,3,4,5,5,2,0,0,3
"12125",1,0,"disloyal Customer",41,"Business travel","Business",602,5,5,5,5,2,5,2,2,3,3,5,3,5,2,30,35,3
"12126",0,1,"disloyal Customer",45,"Business travel","Eco",321,3,3,3,2,3,3,3,3,2,4,3,4,2,3,1,0,3
"12128",0,0,"disloyal Customer",23,"Business travel","Eco",337,2,0,2,3,5,2,3,5,4,3,5,3,5,5,0,0,1
"12144",0,1,"disloyal Customer",20,"Business travel","Eco",201,2,4,2,4,5,2,1,5,3,1,3,1,4,5,0,4,1
"12157",0,0,"disloyal Customer",25,"Business travel","Business",1199,1,0,1,3,3,1,3,3,3,5,4,3,4,3,0,0,4
"12159",0,1,"disloyal Customer",34,"Business travel","Business",1788,4,4,4,5,5,4,5,5,5,3,5,5,4,5,0,0,2
"12163",0,1,"disloyal Customer",25,"Business travel","Eco",809,1,1,1,4,1,1,1,1,2,1,3,2,4,1,10,0,4
"12165",0,0,"disloyal Customer",17,"Business travel","Eco",354,3,4,3,4,4,3,4,4,1,4,3,4,4,4,10,12,1
"12166",0,1,"disloyal Customer",40,"Business travel","Eco",936,3,3,3,3,4,3,1,4,2,3,3,2,4,4,0,0,1
"12189",1,0,"disloyal Customer",20,"Business travel","Eco",280,0,5,0,2,4,0,4,4,2,5,5,4,4,4,0,0,1
"12191",0,1,"disloyal Customer",45,"Business travel","Eco",390,1,2,1,3,1,1,1,1,4,5,3,4,3,1,0,0,4
"12194",0,1,"disloyal Customer",42,"Business travel","Eco",425,2,1,2,3,1,2,1,1,1,2,3,3,4,1,0,0,4
"12195",0,1,"disloyal Customer",24,"Business travel","Business",139,3,3,3,3,4,3,4,4,2,2,4,2,3,4,105,113,1
"12199",0,0,"disloyal Customer",31,"Business travel","Eco",1013,3,3,3,4,3,3,3,3,3,3,3,1,4,3,10,8,3
"12203",0,1,"disloyal Customer",27,"Business travel","Business",501,1,2,2,1,5,2,5,5,5,3,5,4,5,5,0,0,1
"12211",0,0,"disloyal Customer",36,"Business travel","Eco",308,2,2,1,4,3,1,5,3,4,5,4,2,3,3,51,44,1
"12217",0,1,"disloyal Customer",22,"Business travel","Eco",163,2,0,2,4,5,2,5,5,3,1,5,2,4,5,14,5,1
"12219",0,0,"disloyal Customer",37,"Business travel","Eco",548,4,2,4,3,3,4,3,3,4,5,4,1,3,3,10,6,3
"12224",0,0,"disloyal Customer",22,"Business travel","Business",101,3,2,3,1,5,3,5,5,2,1,1,4,1,5,0,0,1
"12225",0,1,"disloyal Customer",37,"Business travel","Business",164,3,2,2,5,4,2,4,4,3,3,4,3,4,4,0,31,1
"12237",0,0,"disloyal Customer",21,"Business travel","Eco",594,4,2,4,3,2,4,2,2,2,5,3,2,4,2,24,18,3
